t,grassTop
v,0,23,5,1
v,0,23,5,5
v,-128,1,5,6
v,0,15,5,5
v,-127,37,6,1
v,0,23,5,4
v,0,15,5,4
v,0,23,5,3
v,0,23,5,2
v,0,15,5,3
v,-127,38,6,5
v,0,15,5,2
v,-128,57,0,0
v,0,15,5,1
v,-127,37,6,5
v,0,8,5,1
v,126,1,5,5
v,0,8,5,2
v,-127,15,6,1
v,0,8,5,3
v,3,8,5,4
v,127,8,5,5
v,-127,15,6,5
v,-127,38,6,1
v,0,46,5,2
v,0,46,5,1
v,0,46,5,4
v,0,46,5,3
v,0,46,5,5
v,-127,46,6,5
v,-127,46,6,1
v,0,10,5,3
v,-127,42,6,1
v,0,10,5,2
v,0,10,5,1
v,0,31,5,5
v,-127,10,6,1
v,127,10,6,5
v,0,52,5,1
v,0,52,5,2
v,0,52,5,3
v,0,52,5,4
v,0,52,5,5
v,0,31,5,1
v,0,31,5,2
v,0,31,5,3
v,0,31,5,4
v,-127,42,6,5
v,0,10,5,4
v,127,10,5,5
v,-127,33,6,5
v,-127,32,6,1
v,-127,34,6,1
v,-128,0,6,6
v,-127,34,6,5
v,-127,9,6,1
v,-127,32,6,5
v,-127,33,6,1
v,127,9,6,5
v,0,50,5,4
v,-128,2,6,6
v,0,50,5,5
v,0,50,5,2
v,0,11,5,3
v,0,50,5,3
v,0,11,5,4
v,0,11,5,5
v,0,50,5,1
v,126,4,5,4
v,127,4,5,3
v,-128,4,5,6
v,126,4,5,5
v,-127,11,6,5
v,127,4,5,2
v,127,4,5,1
v,-127,23,6,5
v,-127,11,6,1
v,-127,23,6,1
v,0,38,5,4
v,0,26,5,2
v,0,38,5,5
v,0,26,5,1
v,0,38,5,2
v,0,11,5,2
v,0,11,5,1
v,0,38,5,3
v,0,26,5,5
v,0,38,5,1
v,0,26,5,4
v,0,26,5,3
v,0,29,5,3
v,0,29,5,2
v,0,29,5,1
v,0,29,5,5
v,0,29,5,4
v,-127,29,6,1
v,-127,29,6,5
v,0,42,5,5
v,-127,12,6,5
v,-127,12,6,1
v,0,12,5,3
v,0,12,5,2
v,0,12,5,5
v,0,12,5,4
v,0,12,5,1
v,0,42,5,1
v,0,42,5,2
v,0,42,5,3
v,0,42,5,4
v,0,32,5,1
v,0,32,5,3
v,-127,54,6,1
v,0,32,5,2
v,0,34,5,5
v,0,54,5,1
v,0,34,5,4
v,0,54,5,3
v,0,34,5,3
v,0,54,5,2
v,0,34,5,2
v,0,54,5,4
v,0,9,5,1
v,0,34,5,1
v,0,54,5,5
v,0,9,5,4
v,0,32,5,4
v,0,32,5,5
v,127,9,5,5
v,-127,54,6,5
v,0,9,5,2
v,0,9,5,3
v,-127,26,6,5
v,-127,26,6,1
v,-128,4,6,6
v,96,4,6,1
v,-128,4,6,4
v,-128,4,6,5
v,0,4,6,2
v,-128,4,6,3
v,0,20,5,2
v,0,20,5,1
v,-128,1,6,6
v,0,20,5,4
v,0,20,5,3
v,0,20,5,5
v,-127,50,6,1
v,-127,50,6,5
v,0,24,5,5
v,3,7,5,4
v,0,24,5,4
v,127,7,5,5
v,0,24,5,3
v,0,24,5,2
v,0,24,5,1
v,0,7,5,1
v,0,7,5,2
v,1,7,5,3
v,126,0,5,5
v,-128,0,5,6
v,-127,8,6,1
v,0,37,5,4
v,0,37,5,3
v,0,37,5,5
v,0,37,5,2
v,0,37,5,1
v,-127,30,6,5
v,0,8,6,5
v,127,8,6,4
v,-1,6,6,1
v,127,6,6,2
v,64,6,6,3
v,-127,30,6,1
v,0,45,5,1
v,0,45,5,3
v,0,45,5,2
v,0,45,5,5
v,0,45,5,4
v,-127,45,6,1
v,-127,45,6,5
v,0,7,6,4
v,127,7,6,3
v,-127,39,6,1
v,-127,39,6,5
